image_path,Cluster
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-48-301.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-48-302.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-49-303.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-49-304.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-49-305.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-49-306.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-50-307.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-50-308.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-50-309.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-51-310.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-51-311.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-51-312.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-52-313.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-52-314.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-52-315.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-53-316.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-53-317.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-53-318.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-54-319.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-54-320.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-54-321.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-55-322.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-55-323.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-55-324.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-55-325.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-56-326.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-56-327.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-56-328.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-57-329.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\1\2022-06-27 06-59-57-330.jpg,1
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\10\2022-06-28 15-28-29-7003.jpg,2
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\10\2022-06-28 15-28-30-7005.jpg,2
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\10\2022-06-28 15-28-30-7007.jpg,2
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\10\2022-06-28 15-28-31-7009.jpg,2
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\10\2022-06-28 15-28-31-7011.jpg,2
E:\MAJOR PROJECT\Dataset\Dataset 0\road_classification\Road Surface Image Dataset with Detailed Annotations\dataset(v2)\dataset\test-set\10\2022-06-28 15-28-32-7013.jpg,0
